owning_agency_name,reporting_agency_name,submission_period,allocation_transfer_agency_identifier_code,agency_identifier_code,beginning_period_of_availability,ending_period_of_availability,availability_type_code,main_account_code,sub_account_code,treasury_account_symbol,treasury_account_name,agency_identifier_name,allocation_transfer_agency_identifier_name,budget_function,budget_subfunction,federal_account_symbol,federal_account_name,program_activity_code,program_activity_name,object_class_code,object_class_name,direct_or_reimbursable_funding_source,disaster_emergency_fund_code,disaster_emergency_fund_name,obligations_incurred,deobligations_or_recoveries_or_refunds_from_prior_year,gross_outlay_amount,last_modified_date
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2022,,0390,000,075-2020/2022-0390-000,"Indian Health Services, Indian Health Service, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0390,"Indian Health Services, Indian Health Service, Health and Human Services",0001,CLINICAL SERVICES,31.0,Equipment,D,M,Families First Coronavirus Response Act,17187.22,0.00,118982.24,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2022,,0390,000,075-2020/2022-0390-000,"Indian Health Services, Indian Health Service, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0390,"Indian Health Services, Indian Health Service, Health and Human Services",0001,CLINICAL SERVICES,26.0,Supplies and materials,D,M,Families First Coronavirus Response Act,657607.97,-43099.77,622667.72,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2022,,0390,000,075-2020/2022-0390-000,"Indian Health Services, Indian Health Service, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0390,"Indian Health Services, Indian Health Service, Health and Human Services",0001,CLINICAL SERVICES,25.6,Medical care,D,M,Families First Coronavirus Response Act,86514.82,0.00,409098.17,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2022,,0390,000,075-2020/2022-0390-000,"Indian Health Services, Indian Health Service, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0390,"Indian Health Services, Indian Health Service, Health and Human Services",0001,CLINICAL SERVICES,25.8,Subsistence and support of persons,D,M,Families First Coronavirus Response Act,0.00,-3.00,0.00,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2022,,0390,000,075-2020/2022-0390-000,"Indian Health Services, Indian Health Service, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0390,"Indian Health Services, Indian Health Service, Health and Human Services",0001,CLINICAL SERVICES,25.7,Operation and maintenance of equipment,D,M,Families First Coronavirus Response Act,9160.00,0.00,0.00,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2022,,0390,000,075-2020/2022-0390-000,"Indian Health Services, Indian Health Service, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0390,"Indian Health Services, Indian Health Service, Health and Human Services",0001,CLINICAL SERVICES,25.2,Other services from non-Federal sources,D,M,Families First Coronavirus Response Act,86110.40,0.00,124773.37,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2022,,0390,000,075-2020/2022-0390-000,"Indian Health Services, Indian Health Service, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0390,"Indian Health Services, Indian Health Service, Health and Human Services",0001,CLINICAL SERVICES,25.4,Operation and maintenance of facilities,D,M,Families First Coronavirus Response Act,1800.00,0.00,19068.10,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2022,,0390,000,075-2020/2022-0390-000,"Indian Health Services, Indian Health Service, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0390,"Indian Health Services, Indian Health Service, Health and Human Services",0001,CLINICAL SERVICES,25.1,Advisory and assistance services,D,M,Families First Coronavirus Response Act,70630.00,0.00,144274.22,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2022,,0943,000,075-2020/2022-0943-000,"CDC-Wide Activities and Program Support, Centers for Disease Control and Prevention, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0943,"CDC-Wide Activities and Program Support, Centers for Disease Control and Prevention, Health and Human Services",0002,CDC WIDE ACTIVITIES AND PROGRAM SUPPORT (0943),11.7,Military personnel,D,L,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",6745.38,-14926.98,50102.40,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2022,,0943,000,075-2020/2022-0943-000,"CDC-Wide Activities and Program Support, Centers for Disease Control and Prevention, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0943,"CDC-Wide Activities and Program Support, Centers for Disease Control and Prevention, Health and Human Services",0002,CDC WIDE ACTIVITIES AND PROGRAM SUPPORT (0943),25.2,Other services from non-Federal sources,D,L,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",14447.54,-9561.29,1784332.68,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2022,,0943,000,075-2020/2022-0943-000,"CDC-Wide Activities and Program Support, Centers for Disease Control and Prevention, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0943,"CDC-Wide Activities and Program Support, Centers for Disease Control and Prevention, Health and Human Services",0002,CDC WIDE ACTIVITIES AND PROGRAM SUPPORT (0943),25.7,Operation and maintenance of equipment,D,L,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",97789.00,-86537.23,947221.21,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2022,,0943,000,075-2020/2022-0943-000,"CDC-Wide Activities and Program Support, Centers for Disease Control and Prevention, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0943,"CDC-Wide Activities and Program Support, Centers for Disease Control and Prevention, Health and Human Services",0002,CDC WIDE ACTIVITIES AND PROGRAM SUPPORT (0943),11.8,Special personal services payments,D,L,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",0.00,0.00,33537.63,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2022,,0943,000,075-2020/2022-0943-000,"CDC-Wide Activities and Program Support, Centers for Disease Control and Prevention, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0943,"CDC-Wide Activities and Program Support, Centers for Disease Control and Prevention, Health and Human Services",0002,CDC WIDE ACTIVITIES AND PROGRAM SUPPORT (0943),25.3,Other goods and services from Federal sources,D,L,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",1077439.17,-1020517.00,10383015.05,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2022,,0943,000,075-2020/2022-0943-000,"CDC-Wide Activities and Program Support, Centers for Disease Control and Prevention, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0943,"CDC-Wide Activities and Program Support, Centers for Disease Control and Prevention, Health and Human Services",0002,CDC WIDE ACTIVITIES AND PROGRAM SUPPORT (0943),25.6,Medical care,D,L,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",1058.52,-4163.00,257065.18,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2022,,0943,000,075-2020/2022-0943-000,"CDC-Wide Activities and Program Support, Centers for Disease Control and Prevention, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0943,"CDC-Wide Activities and Program Support, Centers for Disease Control and Prevention, Health and Human Services",0002,CDC WIDE ACTIVITIES AND PROGRAM SUPPORT (0943),25.4,Operation and maintenance of facilities,D,L,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",0.00,-24082.09,183375.14,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2022,,0943,000,075-2020/2022-0943-000,"CDC-Wide Activities and Program Support, Centers for Disease Control and Prevention, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0943,"CDC-Wide Activities and Program Support, Centers for Disease Control and Prevention, Health and Human Services",0002,CDC WIDE ACTIVITIES AND PROGRAM SUPPORT (0943),25.5,Research and development contracts,D,L,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",0.00,0.00,3236142.21,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2022,,0943,000,075-2020/2022-0943-000,"CDC-Wide Activities and Program Support, Centers for Disease Control and Prevention, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0943,"CDC-Wide Activities and Program Support, Centers for Disease Control and Prevention, Health and Human Services",0002,CDC WIDE ACTIVITIES AND PROGRAM SUPPORT (0943),12.1,Civilian personnel benefits,D,L,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",242328.18,-129.67,470615.73,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2022,,0943,000,075-2020/2022-0943-000,"CDC-Wide Activities and Program Support, Centers for Disease Control and Prevention, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0943,"CDC-Wide Activities and Program Support, Centers for Disease Control and Prevention, Health and Human Services",0002,CDC WIDE ACTIVITIES AND PROGRAM SUPPORT (0943),23.2,Rental payments to others,D,L,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",1400.00,0.00,4341.78,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2022,,0943,000,075-2020/2022-0943-000,"CDC-Wide Activities and Program Support, Centers for Disease Control and Prevention, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0943,"CDC-Wide Activities and Program Support, Centers for Disease Control and Prevention, Health and Human Services",0002,CDC WIDE ACTIVITIES AND PROGRAM SUPPORT (0943),23.3,"Communications, utilities, and miscellaneous charges",D,L,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",44564.53,0.00,15046.26,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2022,,0943,000,075-2020/2022-0943-000,"CDC-Wide Activities and Program Support, Centers for Disease Control and Prevention, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0943,"CDC-Wide Activities and Program Support, Centers for Disease Control and Prevention, Health and Human Services",0002,CDC WIDE ACTIVITIES AND PROGRAM SUPPORT (0943),25.1,Advisory and assistance services,D,L,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",14918394.96,-67304.94,33542742.81,2021-01-28
